model,lambda,i_dont_know,inline,apply
ridge-general , 1e-05 , 0.06449407474931632 , 0.49156791248860526 , 0.4439380127620784
ridge-general , 5e-05 , 0.1433454876937101 , 0.44940747493163175 , 0.40724703737465817
ridge-general , 0.0001 , 0.1959890610756609 , 0.4220601640838651 , 0.381950774840474
ridge-general , 0.0005 , 0.39471285323609845 , 0.3245214220601641 , 0.28076572470373745
ridge-general , 0.001 , 0.49293527803099363 , 0.27233363719234277 , 0.23473108477666363
ridge-general , 0.005 , 0.7504557885141294 , 0.13514129443938014 , 0.11440291704649043
ridge-general , 0.01 , 0.8468550592525068 , 0.08728350045578852 , 0.06586144029170465
ridge-general , 0.05 , 0.9806289881494986 , 0.014129443938012761 , 0.0052415679124886054
ridge-star , 1e-05 , 0.050592525068368276 , 0.5166362807657247 , 0.43277119416590704
ridge-star , 5e-05 , 0.10870556061987238 , 0.4874658158614403 , 0.4038286235186873
ridge-star , 0.0001 , 0.1533728350045579 , 0.4608021877848678 , 0.3858249772105743
ridge-star , 0.0005 , 0.33796718322698266 , 0.3600729261622607 , 0.3019598906107566
ridge-star , 0.001 , 0.457383773928897 , 0.2932999088422972 , 0.24931631722880584
ridge-star , 0.005 , 0.7559252506836828 , 0.1346855059252507 , 0.10938924339106655
ridge-star , 0.01 , 0.8400182315405652 , 0.08910665451230629 , 0.07087511394712853
ridge-star , 0.05 , 0.9610300820419325 , 0.020966271649954422 , 0.018003646308113037
ridge-hand , 1e-05 , 0.03395624430264357 , 0.5025068368277119 , 0.4635369188696445
ridge-hand , 5e-05 , 0.059708295350957154 , 0.49111212397447584 , 0.449179580674567
ridge-hand , 0.0001 , 0.08523245214220601 , 0.4781221513217867 , 0.4366453965360073
ridge-hand , 0.0005 , 0.20168641750227895 , 0.4216043755697356 , 0.37670920692798543
ridge-hand , 0.001 , 0.2757520510483136 , 0.3826344576116682 , 0.3416134913400182
ridge-hand , 0.005 , 0.5275752051048314 , 0.2506836827711942 , 0.2217411121239745
ridge-hand , 0.01 , 0.6597538742023701 , 0.17958067456700091 , 0.16066545123062898
ridge-hand , 0.05 , 0.9197812215132178 , 0.0435278030993619 , 0.036690975387420235
